geoID,cell_line,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM1017466,HaCaT,,,,,,,,,,,,,,,,,,2450098),"gene expression profiling of 21 cell lines-|-HaCaT, replicate 1",HaCaT,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1017nnn/GSM1017466/GSM1017466_mRNA_5a_041206.CEL.gz,,,,,
GSM1017467,HaCaT,,,,,,,,,,,,,,,,,,2450098),"gene expression profiling of 21 cell lines-|-HaCaT, replicate 2",HaCaT,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1017nnn/GSM1017467/GSM1017467_mRNA_5b_041206.CEL.gz,,,,,
GSM1017468,HaCaT,,,,,,,,,,,,,,,,,,2450098),"gene expression profiling of 21 cell lines-|-HaCaT, replicate 3",HaCaT,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1017nnn/GSM1017468/GSM1017468_mRNA_5c_041206.CEL.gz,,,,,
GSM508815,HaCaT,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM508816,HaCaT,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM508817,HaCaT,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM960278,HaCaT,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM960286,HaCaT,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM960294,HaCaT,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM1017472,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM1017473,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM1017474,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM1025049,HeLa,,,,,,,,,,,,,,,,,,HeLa,cells,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1025nnn/GSM1025049/GSM1025049_Cas_Control1_HG-U133_Plus_2_.CEL.gz,,,,,,
GSM1025050,HeLa,,,,,,,,,,,,,,,,,,HeLa,cells,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1025nnn/GSM1025050/GSM1025050_Cas_Control2_HG-U133_Plus_2_.CEL.gz,,,,,,
GSM1025051,HeLa,,,,,,,,,,,,,,,,,,HeLa,cells,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1025nnn/GSM1025051/GSM1025051_Cas_Control3_HG-U133_Plus_2_.CEL.gz,,,,,,
GSM1068623,HeLa,,,,,,,,,,,,,,,,,,Human,cervical,squamous,cell,carcinoma,cell,line,HeLa,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1068nnn/GSM1068623/GSM1068623_HeLa-C.CEL.gz
GSM1122645,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM1122648,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM1154785,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM1154786,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM1282397,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM1282398,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM1282399,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM157868,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM162953,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM162955,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM162964,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM341386,HeLa,,,,,,,,,,,,,,,,,,growth,condition_18h,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM341nnn/GSM341386/GSM341386.CEL.gz,,,,,,
GSM341387,HeLa,,,,,,,,,,,,,,,,,,growth,condition_15h,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM341nnn/GSM341387/GSM341387.CEL.gz,,,,,,
GSM341388,HeLa,,,,,,,,,,,,,,,,,,HeLa,cell_normal,growth,condition_1Î¼M,VST_18h,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM341nnn/GSM341388/GSM341388.CEL.gz,,,
GSM352683,HeLa,,,,,,,,,,,,,,,,,,line,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM352nnn/GSM352683/GSM352683.CEL.gz,,,,,,,
GSM463942,HeLa,,,,,,,,,,,,,,,,,,RNA,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM463nnn/GSM463942/GSM463942.CEL.gz,,,,,,,
GSM494403,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM542389,HeLa,,,,,,,,,,,,,,,,,,cells,unstimulated,human,HeLa,cells,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM542nnn/GSM542389/GSM542389.CEL.gz,,,
GSM554070,HeLa,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM554nnn/GSM554070/GSM554070.cel.gz,,,,,,,,
GSM554072,HeLa,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM554nnn/GSM554072/GSM554072.cel.gz,,,,,,,,
GSM554074,HeLa,,,,,,,,,,,,,,,,,,expression,data,of,HeLa,cells,HeLa,cells,control,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM554nnn/GSM554074/GSM554074.cel.gz
GSM650992,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM818832,HeLa,,,,,,,,,,,,,,,,,,with,FBS,HeLa,cells,cultured,with,FBS,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM818nnn/GSM818832/GSM818832.CEL.gz,
GSM818833,HeLa,,,,,,,,,,,,,,,,,,with,FBS,HeLa,cells,cultured,with,FBS,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM818nnn/GSM818833/GSM818833.CEL.gz,
GSM818834,HeLa,,,,,,,,,,,,,,,,,,with,FBS,HeLa,cells,cultured,with,FBS,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM818nnn/GSM818834/GSM818834.CEL.gz,
GSM930228,HeLa,,,,,,,,,,,,,,,,,,of,parental,HeLa,cells,parental,HeLa,cells,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM930nnn/GSM930228/GSM930228_Cnt_1.CEL.gz,
GSM930229,HeLa,,,,,,,,,,,,,,,,,,of,parental,HeLa,cells,parental,HeLa,cells,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM930nnn/GSM930229/GSM930229_Cnt_2.CEL.gz,
GSM930230,HeLa,,,,,,,,,,,,,,,,,,of,parental,HeLa,cells,parental,HeLa,cells,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM930nnn/GSM930230/GSM930230_Cnt_3.CEL.gz,
GSM960275,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM960283,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM960291,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM173532,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM173533,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM173534,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM886422,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM886423,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM886433,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM886434,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM886435,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM960281,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM960289,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM960297,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
